회사명,종목코드
BGF리테일,282330
동양피스톤,092780
진에어,272450
케이씨텍,281820
동아타이어,282690
삼양패키징,272550
테이팩스,055490
롯데제과,280360
제일약품,271980
카카오,035720
오리온,271560
미원에스씨,268280
경동도시가스,267290
넷마블게임즈,251270
아이엔지생명,079440
현대건설기계,267270
현대로보틱스,267250
현대일렉트릭,267260
크라운제과,264900
덴티움,145720
호전실업,111110
핸즈코퍼레이션,143210
두산밥캣,241560
삼성바이오로직스,207940
JW생명과학,234080
화승엔터프라이즈,241590
LS전선아시아,229640
모두투어리츠,204210
일동제약,249420
샘표식품,248170
두올,016740
동서,026960
한국자산신탁,123890
한국토지신탁,034830
해성디에스,195870
용평리조트,070960
해태제과식품,101530
대림씨엔에스,004440
제이에스코퍼레이션,194370
코리아오토글라스,152330
잇츠한불,226320
세진중공업,075580
금호에이치티,214330
제주항공,089590
현대코퍼레이션홀딩스,227840
LIG넥스원,079550
동일제강,002690
아이콘트롤스,039570
AJ네트웍스,095570
이노션,214320
토니모리,214420
미래에셋생명,085620
경보제약,214390
SK디앤디,210980
엔에스쇼핑,138250
세화아이엠씨,145210
한솔제지,213500
디와이파워,210540
삼성물산,028260
씨에스윈드,112610
우리은행,000030
삼성에스디에스,018260
만도,204320
서연이화,200880
쿠쿠전자,192400
화인베스틸,133820
광주은행,192530
BGF,027410
코스맥스,192820
종근당,185750
신송홀딩스,006880
아세아시멘트,183190
현대로템,064350
한진칼,180640
NHN엔터테인먼트,181710
JB금융지주,175330
하이골드12호,172580
DSR,155660
한국패러랠,168490
동아에스티,170900
지엠비코리아,013870
CJ헬로,037560
동일고무벨트,163560
한국콜마,161890
한국타이어,161390
애경유화,161000
하이골드8호,159650
AJ렌터카,068400
바다로19호,155900
사조씨푸드,014710
하이골드3호,153360
코오롱머티리얼,144620
한국ANKOR유전,152550
휴비스,079980
케이탑리츠,145270
GS리테일,007070
인터지스,129260
삼양사,145990
하나투어,039130
트러스제7호,140890
에이블씨엔씨,078520
삼원강재,023000
신세계인터내셔날,031430
에이리츠,140910
한국항공우주,047810
롯데하이마트,071840
한세엠케이,069640
코오롱플라스틱,138490
이마트,139480
DGB금융지주,139130
케이티스카이라이프,053210
세아특수강,019440
메리츠금융지주,138040
한국종합기술,023350
BNK금융지주,138930
일진머티리얼즈,020150
현대위아,011210
선진,136490
미원화학,134380
팀스,134790
두산엔진,082740
대성에너지,117580
현대에이치씨엔,126560
케이티스,058860
한전산업,130660
코라오홀딩스,900140
동양네트웍스,030790
휠라코리아,081660
KTcs,058850
현대홈쇼핑,057050
도화엔지니어링,002150
대성산업,128820
아이마켓코리아,122900
한미약품,128940
우진,105840
무학,033920
웅진에너지,103130
이연제약,102460
한국화장품,123690
에스제이엠,123700
한라홀딩스,060980
삼성생명,032830
신세계푸드,031440
한화생명,088350
조선선재,120030
코오롱인더,120110
KC코트렐,119650
지역난방공사,071320
락앤락,115390
영흥철강,012160
우리들휴브레인,118000
한전기술,052690
GKL,114090
SK,034730
황금에스티,032560
하이트진로,000080
동양생명,082640
유니온머티리얼,047400
형지엘리트,093240
키움증권,039490
영원무역,111770
아주캐피탈,033660
한미글로벌,053690
동아지질,028100
STX중공업,071970
LG하우시스,108670
한세실업,105630
KGP,109070
미원홀딩스,107590
NAVER,035420
부국철강,026940
KB금융,105560
한국철강,104700
일진전기,103590
풍산,103140
LG이노텍,011070
명문제약,017180
비상교육,100220
동성코퍼레이션,102260
쌍방울,102280
LG유플러스,032640
아티스,101140
아시아나항공,020560
SBS미디어홀딩스,101060
S&TC,100840
진양홀딩스,100250
하나니켈1호,099340
하나니켈2호,099350
엔케이,085310
한전KPS,051600
이아이디,093230
기신정기,092440
KSS해운,044450
효성 ITX,094280
유나이티드,033270
디아이씨,092200
CJ제일제당,097950
팬오션,028670
한진중공업,097230
JW홀딩스,096760
SK이노베이션,096770
삼성카드,029780
베트남개발1,096300
알루코,001780
웅진씽크빅,095720
맵스리얼티1,094800
아비스타,090370
후성,093370
LF,093050
주연테크,044380
코스맥스비티아이,044820
인천도시가스,034590
삼정펄프,009770
KEC,092220
KPX홀딩스,092230
현대EP,089470
세원셀론텍,091090
노루페인트,090350
아모레퍼시픽,090430
롯데관광개발,032350
평화산업,090080
우진플라임,049800
신세계I&C,035510
진도,088790
맥쿼리인프라,088980
롯데쇼핑,023530
현대글로비스,086280
티비에이치글로벌,084870
하나금융지주,086790
제일연마,001560
현대리바트,079430
대한제강,084010
새론오토모티브,075180
KPX그린케미칼,083420
동북아12호선박투자,083370
동북아13호선박투자,083380
대상홀딩스,084690
코아스,071950
이월드,084680
동양고속,084670
한미반도체,042700
동일산업,004890
삼호개발,010960
금호타이어,073240
CJ CGV,079160
일진다이아,081000
유니드,014830
상신브레이크,041650
사조해표,079660
인팩,023810
GS,078930
유니퀘스트,077500
동아에스텍,058730
LG디스플레이,034220
텔코웨어,078000
STX엔진,077970
NICE,034310
대교,019680
기업은행,024110
이엔쓰리,074610
한솔홈데코,025750
이수페타시스,007660
강원랜드,035250
YG PLUS,037270
농심홀딩스,072710
한국금융지주,071050
유엔젤,072130
SBS,034120
엔씨소프트,036570
하이스틸,071090
DSR제강,069730
태경화학,006890
